EIN,NAME,STATE,NTEE_GROUP,NTEE_CD,WEBSITE
95-2670333,THE TURNING POINT HOME OF SAN DIEGO,CA,F,F22Z,www.turningpointhome.org
47-4070288,SUPPORT SISTERZ,CA,G,G12,supportsisterz.org
27-0532810,ADELPHOI EDUCATION INC,PA,B,B28,www.adelphoi.org
43-1808105,RACHEL HOUSE PREGNANCY RESOURCE CENTERS INC,MO,F,F60,www.rachelhousefriends.org
84-3166338,SOUTHERN CALIFORNIA YOUTH EMERGENCY SERVICES INC,CA,F,F19,www.socalyes.org
45-2047833,SAMARITAN COUNSELING CENTER OF TYLER INC,TX,F,F60,sccet.org
27-1918781,CONSORTIUM OF DEMENTIA ALTERNATIVES,NE,G,G83,www.gocda.org
82-1989549,RECOVERY GROUP,UT,F,F12,goodtimegolfut.com
86-0897810,CANCER SUPPORT COMMUNITY-ARIZONA,AZ,G,G30,www.cscaz.org
04-3765827,ALIGNING DESTINY INTERNATIONAL INC,AL,G,G90,aligningdestinyinternational.com
83-2428152,BIOTERN,CA,B,B25,biotern.org
02-0544768,ONE ACTION,DC,R,R99,www.one.org
82-1507921,SOCIAL ADVANCEMENT GROUP INC,TX,R,R22,www.socialadvancementgroup.org
61-1678994,JAILS TO JOBS,CA,I,I40,jailstojobs.org
84-4420897,SATORI HOUSE RECOVERY INC,WI,F,F60,satorihouse.org
36-3134577,LAWYERS COMMITTEE FOR BETTER HOUSING,IL,I,I83Z,www.lcbh.org
45-4165908,INLAND EMPIRE LIVER FOUNDATION,CA,G,G014,ieliverfoundation.com
45-2119783,TRI-STATE CHRISTIAN ACADEMY INC,MD,B,B24,www.tristatechristian.org
27-1218153,KATE FOUNDATION FOR RETT SYNDROME RESEARCH INC,CT,H,H112,www.katefoundation.org
36-2217981,ACOG FOUNDATION,DC,G,G030,www.acog.org
75-2627199,CENTER STREET COUNSELING SERVICES INC,TX,F,F30,centerstreetcounseling.com
52-1752653,CARDIOVASCULAR RESEARCH FOUNDATION,NY,H,H20Z,www.crf.org
04-3349684,NEW ENGLAND PERSONALITY DISORDER ASSOCIATION INC,MA,F,F80,www.nepda.org
75-1833933,PTA TEXAS CONGRESS,TX,B,B94,www.garlandisd.net
34-1936232,INDEPENDENCE PRIMARY SCHOOL PTO,OH,B,B94,ips.ptboard.com
45-2319049,BRAEDANS BRIDGE INC,OH,H,H50,www.braedansbridge.squarespace.com
93-0687567,KAPPA SIGMA NU ASSOCIATION INC,OR,B,B83,oregonstate.phideltatheta.org
82-4873549,PALM VALLEY ACADEMY PTO,FL,B,B94,pvapto.org
31-0889471,DAVID SCHOOL INC,KY,B,B25,www.davidschool.org
45-0672514,USAGAINSTALZHEIMERS,DC,H,H12,www.usagainstalzheimers.org
47-2544040,INSTITUTE FOR GOOD GOVERNMENT AND INCLUSION,CA,R,R05,thinkiggi.com
83-1163390,IGY6 FOUNDATION,PA,F,F70,www.igy6foundation.org
43-2021875,25 40,VA,G,G81,www.2540.org
47-1588668,FAIRWIND LEARNING CENTER CORP,MA,B,B21,www.fairwindlearningcenter.com
77-0272319,ALLIANCE FOR COMMUNITY TRANSFORMATIONS,CA,F,F99Z,www.alliance4community.org
22-3476454,MENTAL HEALTH ASSOCIATION FOUNDATION INC,NJ,F,F99,mentalhealthmonmouth.org
26-3424190,CHRIS CARRINO FOUNDATION FOR FSHD INC,NJ,G,G122,www.chriscarrinofoundation.org
27-1599170,CALIFORNIANS FOR HIGH SPEED RAIL,CA,R,R01,www.ca4hsr.net
84-4709271,PARENTS AGAINST ILLICIT NARCOTICS,OH,F,F21,www.p-a-i-n.us
35-2532281,SAVORY SUNDAY INC,WI,F,F01,www.savorysunday.org
43-1809569,SIGMA NU OF SOUTHEAST MISSOURI INC,MO,B,B83,alumni.semosigmanu.com
54-1719793,WEST INDIES UNITED SOCCER CLUB,VA,B,B94,www.westindiesunitedva.org
75-2894776,TEXAS NORML INC,TX,R,R01,www.texasnorml.org
39-1472091,CARE NET PREGNANCY CENTER OF DANE COUNTY INC,WI,R,R62Z,friends.carenetdane.org
45-3415067,KWASHA-KIDS,MO,B,B24,www.kwasha-kids.org
47-2806836,CRECIENDO JUNTOS,VA,R,R01,www.cj-network.org
72-1511118,GENEVA ACADEMY INC,LA,B,B25,www.genevaclassical.org
84-1388346,XCELBEYOND INC,CO,F,F33,www.xcelbeyond.org
16-1666973,SARAH GRACE FOUNDATION FOR CHILDREN WITH CANCER INC,NY,G,G12,www.thesarahgracefoundation.org
81-0781454,MEAD HIGH SCHOOL EDUCATION FOUNDATION,CO,B,B94,mhseducationfoundation.org
48-1236586,VALLEY HOPE ASSOCIATION FOUNDATION,KS,F,F110,www.valleyhope.org
48-0728186,VALLEY HOPE ASSOCIATION,KS,F,F22Z,www.valleyhope.org
23-7055681,RETINA SOCIETY INC,MA,G,G41,www.retinasociety.org
75-2942442,WPA MINISTRIES,TX,B,B24,www.wylieprep.com
27-2552989,STEVES CLUB NATIONAL PROGRAM,CO,I,I21,www.stevesclub.org
04-3760793,FRIENDS OF THE ACADEMY AT THE FARM INC,FL,B,B94,academyatthefarm.com
94-1496052,MOMENTUM FOR MENTAL HEALTH,CA,F,F300,www.momentumformentalhealth.org
94-3240988,DAY SCHOOL FOUNDATION,CA,B,B94,www.stmatthewsday.org
20-3522178,THE FRIENDS OF HWRHS-MS INC,MA,B,B94,www.hwschools.net
88-0394078,CHILDRENS ADVOCACY ALLIANCE,NV,I,I70,www.caanv.org
84-1558664,MEDICINE HORSE PROGRAM,CO,F,F30,medicinehorse.org
52-2327231,CONFLICT RESOLUTION CENTER OF MONTGOMERY COUNTY INC,MD,I,I51,www.crcmc.org
26-0357649,SOCIETY FOR PEDIATRIC SEDATION INC,VA,G,G03,www.pedsedation.org
52-1087209,LEAGUE OF WOMEN VOTERS OF THE DISTRICT OF COLUMBIA,DC,R,R400,www.lwvdc.org
83-3625917,SAINT GEMMA HEALTH & WELLNESS CENTER INC,MA,F,F32,saintgemmahealth.org
36-2875726,PARKVIEW MONTESSORI SCHOOL INC,IL,B,B21,www.parkviewmontessori.com
83-3708891,FIELD ELEMENTARY PTO,TX,B,B94,fieldespto.org
46-3726116,OKLAHOMA LUNG CANCER INITIATIVE,OK,G,G30,www.oklahomalungcancer.org
85-1295999,ONCE UPON A PREEMIE INC,PA,G,G02,www.onceuponapreemie.com
65-0461440,GREATER FORT LAUDERDALE PRIDE INC,FL,R,R12,www.pridefortlauderdale.org
95-3814185,RADY CHILDRENS HOSPITAL RESEARCH CENTER,CA,H,H96Z,www.rchsd.org
81-1052742,ROTARY-FAMILY YOUTH INITIATIVE INC,TN,I,I21,rotaryfyi.com
82-3212098,GOOD SAMARITAN INC,VA,F,F30,goodsamaritanva.org
01-0769341,PARENTS OF AUTISTIC CHILDREN NORTHERN VA POAC-NOVA,VA,G,G84,poac-nova.org
74-2758469,REJOICE MINISTRIES INTERNATIONAL,TX,R,R20,www.rejoiceministriesinternational.com
85-0483737,GOLDEN WILLOW RETREAT INC,NM,F,F60,www.goldenwillowretreat.org
27-2112814,AUTISM DIAGNOSTIC EVALUATIONS RESOURCES SERVICES,PA,G,G84,www.adersinc.org
23-7387757,THE CENTER FOR PREVENTION AND COUNSELING INC,NJ,F,F20Z,www.centerforprevention.org
26-2215217,LEGACY SECONDARY SCHOOLS INC,CA,B,B25,www.legacy-christian.com
61-1131881,KENTUCKYS TASK FORCE ON CRIMES AGAINST CHILDREN INC,KY,I,I720,www.kychildabuse.org
20-0156638,NTM INFO & RESEARCH INC,FL,H,H45,www.ntminfo.org
59-3426484,ASSOCIATION OF ST LAWRENCE COMUNITA CENACOLO AMERICA INC,FL,F,F70,www.hopereborn.org
45-2676123,ENDING CANCER IN OUR GENERATION FOUNDATION,IL,G,G30,www.endingcancerinourgeneration.org
23-7113824,HELPLINE YOUTH COUNSELING,CA,I,I21,www.hycinc.org
46-1088977,LEARNING INDEPENDENCE FOR TOMORROW INCORPORATED,FL,B,B28,www.liftfl.org
83-2244589,COLE PROJECT II INC,UT,F,F60,thecoleproject.org
04-3110775,BOSTON CASA INC,MA,R,R200,bostoncasa.org
46-1330488,CARLA ROSE FOUNDATION INC,SC,G,G30,www.crfwc.net
95-2133079,PALM VALLEY SCHOOL,CA,B,B24,www.pvs.org
39-1098683,HOPE COUNCIL ON ALCOHOL AND OTHER DRUG ABUSE INC,WI,F,F21Z,www.hopecouncil.org
35-1881810,PARKE COUNTY COMMUNITY FOUNDATION INC,IN,R,R20Z,www.parkeccf.org
06-1525201,CONNECTICUT CENTER FOR SCHOOL CHANGE INC,CT,B,B94,www.ctschoolchange.org
20-3770686,INEEDCLOSURE INC,CA,I,I210,www.ineedclosure.org
84-2702928,NO MORE A STRANGER FOUNDATION,UT,R,R99,nomaslegal.org
25-1491445,WESTMORELAND DRUG AND ALCOHOL COMMISSION INC,PA,F,F22Z,www.wedacinc.org
81-3512930,TRANSFORMATIVE CIRCLE,MN,R,R01,www.transformativecircle.org
35-2137654,BATESVILLE INTERMEDIATE SCHOOL PARENT TEACHER ORGANIZATION INC,IN,B,B94,batesvilleinschools.com
58-2013835,PREGNANCY SUPPORT CLINIC OF VALDOSTA INC,GA,R,R62Z,www.optionsnow.org
46-5089620,HUMAN TRAFFICKING RESCUE ASSISTANCE,MO,I,I99,www.huschblackwell.com
45-0584574,BRIAN FISHER MEMORIAL,WA,I,I30,brianfishermemorial.com
45-4917504,THE DIABESITY INSTITUTE,WA,H,H99,www.diabesityresearchfoundation.org
47-0834019,WILLA CATHER PTO,NE,B,B94,cather.mpsomaha.org
47-2063634,ILL GO FIRST,NY,F,F30,www.illgofirst.com
46-5189152,INDY RAINBOW CHAMBER OF COMMERCE INCORPORATED,IN,R,R01,www.indyrainbowchamber.org
47-4607273,BIG COUNTRY COURT APPOINTED SPECIAL ADVOCATES INC,TX,I,I21,www.bigcountrycasa.org
82-2487495,CONCERNED CITIZENS FOR DEMOCRACY,PA,R,R05,concernedcitizensfordemocracy.org
82-2654661,DAY BY DAY,SC,F,F50,www.daybydayoutreach.com
20-1137851,AUTOIMMUNITY RESEARCH INC,CA,H,H05,autoimmunityresearch.org
26-3376328,IFB SOLUTIONS FOUNDATION INC,NC,G,G11,www.ifbsolutionsfoundation.org
46-1185274,OPERATION SAVANNAH INC,MO,F,F60,operationsavannah.org
32-0013815,NORTH BRANCH SCHOOL,VT,B,B25,northbranchschool.org
82-5042214,EXPERIENCECHARLESTON ORG INC,SC,B,B24,experiencecharleston.org
38-3699258,FORT WORTH BLACK LAW ENFORCEMENT OFFICERS ASSOCIATION,TX,I,I03,fwbleoa.org
51-0202446,ACADEMIC PEDIATRIC ASSOCIATION,VA,G,G98Z,www.academicpeds.org
82-1199695,ACTION CENTER ON RACE AND THE ECONOMY INSTITUTE,IL,R,R22,www.acrecampaigns.org
77-0517719,FOOTHILL PREGNANCY CENTER,CA,E,E40,foothillpregnancycenter.com
82-2060774,DELTA FOUNDATION INC,KY,I,I21,deltafoundation502.com
26-2733972,CAMP IT UP INC,CA,R,R67,www.campitup.org
65-1240503,NATIONAL ALLIANCE ON MENTAL ILLNESS JEFFERSON COUNTY,WA,F,F30,namijeffcowa.org
46-3286802,HOPE IN LIFE FOUNDATION CORP,CA,I,I71,hopeinlifefoundation.org
84-4820577,RAREITEES INC,AZ,G,G01,rareitees.org
22-3875517,SOUTHWEST GEORGIA CHILDRENS ALLIANCE INC,GA,I,I80,sowegachildren.org
83-3026062,TEACHING WELL INC,CA,B,B94,www.theteachingwell.org
26-4523843,OREGON CRIME VICTIMS LAW CENTER,OR,I,I83,www.ocvlc.org
27-0421663,FREMONT JUNIOR HIGH SCHOOL PTO,AZ,B,B94,www.mpsaz.org
84-1888349,RHODES SCHOOL SUPPORT ORGANIZATION,AZ,B,B94,www.mpsaz.org
38-4058820,NAMI INLAND VALLEY,CA,F,F01,www.namiinlandvalley.org
25-1547942,BURGER KING CANCER CARING CENTER,PA,G,G30Z,www.cancercaring.org
81-1032049,DROPS OF KINDNESS INC,WI,F,F60,dropsofkindness.net
81-5402852,EDUCATE YOUTH,MI,I,I21,educateyouthypsi.org
56-1916661,CDH INTERNATIONAL,NC,G,G20M,www.cdhi.org
27-2440396,PARENT TEACHER ORGANIZATION OF CHAMPLIN BROOKLYN PARK ACADEMY FOR,MN,B,B94,cbpapto.wixsite.com
26-4514751,ASIAN AND PACIFIC ISLANDER AMERICAN VOTE - MICHIGAN,MI,R,R20,www.apiavotemi.org
94-6034112,MENTAL HEALTH ASSOC OF SAN MATEO COUNTY,CA,F,F80Z,mhasmc.org
27-2565894,ZACHS TOY CHEST,NC,G,G30,www.zachstoychest.org
82-0729024,ORTHOX INNOVATION INC,CA,H,H9B,www.orthoxinnovation.com
95-3221061,OPEN PATHS COUNSELING CENTER,CA,F,F80Z,www.openpaths.org
81-0691684,TOBACCO-FREE ALLIANCE,MN,F,F52,mntobaccofreealliance.org
47-1006265,RUSTY PERRY FOUNDATION INC,TX,G,G50,www.rustyperryfoundation.com
26-4373585,FA PROJECT INC,MA,G,G195,thefaproject.org
81-3197298,VENICE PRIDE,CA,R,R26,venicepride.org
46-2917438,2 SISTERS 2 DIFFERENT KINDS OF LUPUS INC,NY,G,G80,www.2sisters2lupus.org
52-1762747,FSHD SOCIETY,MA,H,H20Z,www.fshdsociety.org
27-3681883,BIRTHRIGHT OF ST CHARLES INC,MO,E,E40,www.birthrightstcharles.org
75-1668309,ALCOHOL AND DRUG ABUSE COUNCIL OF DEEP EAST TEXAS INC,TX,F,F20Z,www.adacdet.org
83-4080170,INDEPENDENT IDENTITY,TX,G,G84,www.independentidentity.org
27-2936845,RLI MAIN LINE USA,PA,B,B28,www.greensburgrotary.com
43-1819961,CHILD SAFE OF CENTRAL MISSOURI INC,MO,I,I72,www.childsafehouse.org
54-2113210,BUD TRAYNOR MEMORIAL FUND INC,NY,H,H12,www.budtraynorclassic.org
82-5257879,CAPITAL COLLABORATIVE GROUP,FL,I,I01,capitalcollaborativegroup.org
74-3131546,PRINGLE ELEMENTARY SCHOOL PARENT CLUB,OR,B,B94,pringle.salkeiz.k12.or.us
48-1211844,PREGNANCY & FAMILY RESOURCE CENTER INC,KS,P,P47,www.hope4kansas.com
61-1557918,GREAT LAKES ENVIRONMENTAL LAW CENTER,MI,I,I80,www.glelc.org
46-3800279,BRAVECORT FOUNDATION INC,CA,H,H99,www.bravecort.com
04-2974983,BOSTON AREA RAPE CRISIS CENTER INC,MA,F,F42Z,www.barcc.org
04-2174657,RIVER VALLEY COUNSELING CENTER INC,MA,F,F32,www.rvcc-inc.org
85-0613363,GOOD FRUIT OUTREACH,NC,F,F20,www.mygoodfruit.org
46-5100951,COZY CRITTERS AFTER SCHOOL PROGRAM INC,DE,B,B21,www.cozycrittersafterschool.com
83-3765472,MENTAL HEALTH COLLABORATIVE INC,MA,F,F99,www.mentalhealthcollaborative.org
38-2727847,MACOMB ST CLAIR PRIVATE INDUSTRY COUNCIL,MI,F,F60,www.macomb-stclairworks.org
82-2284338,LOCK -N- KEY PRISON WIVES AFTERMATH 101,NC,I,I43,www.locknkeypwa.com
61-1369313,CHILDWATCH CASA OF BOYD COUNTY INC,KY,I,I70,www.casaneky.org
46-3918344,VOICE OF THE VOICELESS,VA,R,R19,voiceofthevoiceless.info
82-1602188,TRIMBLE CARES,KY,F,F22,www.trimblecares.org
81-5444185,LITTLE TREE PROJECT LLC,AL,F,F01,www.thelittletreeproject.org
36-3916143,CASA LAKE COUNTY INC,IL,R,R200,www.casalakecounty.com
41-1356073,DAMASCUS WAY RE-ENTRY CENTER INC,MN,I,I31Z,damascusway.com
82-2936370,LEAGUE OF WOMEN VOTERS JEFFERSON COUNTY WV,WV,R,R19,lwv-jcwv.org
56-0948408,ADDICTION RECOVERY CARE ASSOCIATION INC,NC,F,F22Z,arcanc.org
46-4337288,EVERYDAY ABILITIES FOUNDATION,CA,G,G50,www.everydayabilities.org
83-0238944,SOLUTIONS FOR LIFE,WY,F,F32Z,www.wysfl.com
45-5162369,CAMP CHAMBERS,TN,I,I21,www.campchambers.com
61-1899168,CLARITY COUNSELING CONNECTIONS,ID,F,F60,claritycounselingconnections.org
33-0737604,KAY CATALDO MEMORIAL BETTER VISION FOR CHILDREN FOUNDATION,CA,H,H41,www.bettervisionforchildren.org
20-8028507,PROJECT UNITY USA,SC,I,I20,www.projectunityusa.org
30-0759390,LEGACY FAMILY MINISTRIES,CO,P,P47,lfmgunnison.org
47-2782120,BREAST CANCER COMFORT FOUNDATION INC,NY,G,G32,www.breastcancercomfort.org
47-3645756,POCATELLO VALLEY EDUCATORS INC,ID,B,B24,www.pocatellovalleymontessori.org
84-3083439,UTERINE CANCER AWARENESS NETWORK INC,TX,G,G19,www.uterinecancerawarenessnetwork.org
84-1987880,HEARTWORK WELLNESS COLLABORATIVE,VA,F,F30,www.heartworkrva.org
86-0554593,HORIZON HEALTH AND WELLNESS INC,AZ,F,F31Z,www.hhwaz.org
20-1194687,LAUREL SCHOOL PARENT TEACHER ORGANIZATION,CA,B,B94,www.laurelpto.org
81-2066174,ALEC BULMER FOUNDATION,MA,G,G12,amazingalec.com
36-6102182,LEUKEMIA RESEARCH FOUNDATION INC,IL,H,H120,www.allbloodcancers.org
47-3169795,FAMILIESCN2A,MA,G,G20,www.scn2a.org
27-3545689,HELP AIDAN GET WELL INC,NJ,G,G20,www.helpaidangetwell.org
27-3695606,TESTICULAR CANCER SOCIETY,OH,G,G19,www.testicularcancersociety.org
46-3322622,KIDDIE SCIENCE INC,NY,B,B21,www.kiddiescience.org
35-1765816,INDIANA ASSOCIATION FOR THE GIFTED,IN,B,B28,www.iag-online.org
81-2725564,TRUE LIFE OF NI,IA,R,R62,www.truelifeofni.com
34-1691325,OHIO BIRD SANCTUARY,OH,I,I400,www.ohiobirdsanctuary.com
62-1232172,CHILDRENS ADVOCACY CENTER OF SULLIVAN COUNTY INC,TN,I,I72Z,www.cacsctn.org
81-2452032,BREAKING FREE MINISTRY INC,KY,F,F20,breakingfreeky.org
42-1570908,BRENT WOODALL FOUNDATION FOR EXCEPTIONAL CHILDREN,TX,G,G84,www.woodallkids.org
85-1931194,HOUSE OF CLARITY,VA,F,F21,www.houseofclarity.org
71-0571011,WOLFE STREET FOUNDATION INC,AR,F,F22Z,www.wolfestreet.org
81-1925405,THE MUSIC LAB,CT,B,B28,musiclabct.com
33-0462859,DEPRESSIVE AND BIPOLAR SUPPORT ALLIANCE-CALIFORNIA,CA,F,F30,dbsacalifornia.org
26-0786026,REED HOUSE INC,GA,F,F32,www.reed-house.org
16-1577187,UNITY ACRES INC,NY,F,F200,unityacres.org
84-4353363,HAWAII ISLAND K9 ASSOCIATION,HI,I,I60,hik9s.org
84-3552281,FACE OF GRACE,CA,F,F20,www.faceofgrace.biz
57-1079924,SOUTH CAROLINA OVARIAN CANCER FOUNDATION,SC,G,G30,www.scovariancancer.org
82-0407349,THE CRISIS HOT LINE INC,ID,F,F400,www.thecrisishotline.org
72-0544581,COUNCIL ON ALCOHOLISM & DRUG ABUSE OF NORTHWEST LOUISIANA,LA,F,F22Z,www.councilonalcoholism.org
83-2680660,JUST LOVE MORE,GA,F,F20,www.justlovemore.org
45-2413139,ANGEL WINGS BRIDGE FOUNDATION,NC,F,F42,www.angelwingsbridge.com
75-2389095,CHILDRENS ADVOCACY CENTER OF COLLIN COUNTY INC,TX,R,R99M,www.caccollincounty.org
83-2266674,ELDERLY ADVOCATES INC,OH,I,I70,www.elderlyadvocates.org
46-0975567,PI KAPPA PHI FOUNDATION,NC,B,B83,www.pikapp.org
34-1986485,UPLIFTING ATHLETES INC,PA,G,G44,www.upliftingathletes.org
65-0988051,COUNSELING AND RECOVERY CENTER INC,FL,F,F20,crcenter.org
94-2301551,CALIFORNIA HISPANIC COMMISSION ON ALCOHOL AND DRUG ABUSE INC,CA,F,F20Z,www.chcada.org
27-3133305,BLACKBIRD CANCER FOUNDATION,IL,G,G19,blackbirdcancerfoundation.com
20-3693455,AREA AMBULANCE AUTHORITY,IA,H,H11,area-ambulance.org
84-2070075,PEER SUPPORT SPACE INC,FL,F,F20,www.peersupportspace.org
84-1595992,DENVER DOMESTIC VIOLENCE COORDINATING COUNCIL,CO,R,R24,www.ddvcc.org
80-0796422,SURVIVORS PATHWAY CORPORATION,FL,I,I73,www.survivorspathway.org
73-1619790,THE TRISTESSE GRIEF CENTER INC,OK,F,F60,www.thegriefcenter.org
84-2635772,BOARD OF MEDICINE,PA,H,H05,www.boardofmedicine.org
91-1043304,COMPREHENSIVE HEALTHCARE,WA,F,F300,www.comphc.org
87-0405229,CENTER FOR WOMEN AND CHILDREN IN CRISIS INCORPORATED,UT,F,F42Z,cwcic.org
83-2575321,MENTAL HEALTH HACKERS,OH,F,F80,mentalhealthhackers.org
57-1022667,CRIME STOPPERS OF OCONEE COUNTY INC,SC,I,I20,www.oconeesccrimestoppers.com
31-0920783,OHIO CRIME PREVENTION ASSOCIATION,OH,I,I20,www.ocpa-oh.org
45-5632842,CGTA RESEARCH GROUP,MN,H,H99,www.cgtaresearchgroup.org
95-3963537,WRAD INC,CA,G,G42,www.wrad.org
27-3302612,INSIDE OUT RECOVERY INC,IN,F,F22,www.insideoutrecovery.org
38-4042071,SOBER IN THE SEAT INC,FL,I,I23,www.soberintheseat.org
61-1421087,INTERNATIONAL SOCIETY FOR THE STUDY OF WOMENS SEXUAL HEALTH,MN,H,H90,www.isswsh.org
95-6095567,CALIFORNIA ASSOCIATION OF THE DEAF,CA,G,G42C,www.cad1906.org
43-1721978,HAVEN OF THE OZARKS INC,MO,I,I20,www.havenoftheozarks.org
47-4777804,ASD ENLIGHT FOUNDATION,CA,G,G84,www.asdenlight.org
36-4540878,INTERNATIONAL 22Q11 2 DELETION SYNDROME FOUNDATION INC,NJ,G,G20,www.22q.org
27-3843936,ERECTILE DYSFUNCTION FOUNDATION,CT,G,G99,www.givingmenhope.org
47-2014292,CLAP YOUR HANDS,SC,G,G20,claphands123.com
82-1985575,ALZHEIMERS CARE ARMENIA,CA,H,H94,www.alzheimerscarearmenia.org
94-3389430,V-DAY,NY,I,I73,www.vday.org
42-1302928,CHATHAM OAKS INC,IA,F,F33,www.unitypoint.org
42-1045257,ABBE CENTER FOR COMMUNITY MENTAL HEALTH INC,IA,F,F32Z,www.unitypoint.org
42-0733463,BLACK HAWK-GRUNDY MENTAL HEALTH CENTER INC,IA,F,F32,www.unitypoint.org
85-1356642,RUTH FOUNDATION,VA,I,I40,www.ruth-foundation.org
27-5192651,KWENYAN AND ASSOCIATES,NJ,F,F60,www.kwenyan.org
91-1982332,CONSERVATION VOTERS NEW MEXICO EDUCATION FUND,NM,R,R40,www.cvnmef.org
34-1872504,A VISION OF CHANGE INCORPORATED,OH,I,I21,www.avisionofchange.org
85-1316500,DEL VALLE COMMUNITY COALITION NON-PROFIT,TX,R,R01,www.delvallecommunitycoalition.com
83-0890149,AO NORTH AMERICA CHARITABLE FUND,PA,H,H50,www.aona.org
83-3263431,HENRYS UNCLE,OR,F,F20,www.henrysuncle.org
84-3889187,FORGOTTEN 22,KS,F,F60,www.theforgotten22.com
27-1512751,DEVELOPMENTAL RESEARCH INSTITUTE,MT,H,H99,www.developmentalresearchinstitute.org
93-1263893,MILES FROM MOLLY INC,OR,G,G123,www.milesfrommolly.org
46-0975573,FAMILY AUTISM CENTER INC,NY,G,G84,familycenterforautism.org
54-2135360,PACIFICA CHRISTIAN HIGH SCHOOL,CA,B,B25,www.pacificachristian.org
82-3744161,CIBI FOUNDATION INC,FL,G,G12,cibifoundation.org
47-4882072,OPEN ARMS RECOVERY CENTER,PA,F,F20,www.openarmspa.com
45-2447554,TEAM HAPPY FEET,MI,H,H11,www.teamhappyfeetonline.com
30-0465566,CHRISTIAN LIFE ACADEMY INC,IL,B,B24,www.clacademy.org
85-3505610,COMMUNICATION AUTISM RESOURCES,NV,F,F60,varlv.com
04-2599689,MUNICIPAL POLICE INSTITUTE INC,MA,I,I600,municipalpoliceinstitute.org
45-0494175,ANNA PURNA GHOSH FOUNDATION,IA,G,G12,apgfoundation.org
45-3938420,WILLIAM AND MARY GALA FOUNDATION,MA,R,R26,www.wmgalafoundation.org
95-2952399,NEWPORT BEACH ALANO CLUB INC,CA,F,F22Z,newportbeachalanoclub.org
38-3568392,GETAWAY DROP IN,MI,F,F33,www.getawaydropin.com
32-0229462,KLC COUTURE CAREER DEVELOPMENT CENTER,MD,B,B28,www.klccouturecareerdevelopmentcenter.com
46-2174130,LGBTQ SUPPORT AND SOCIAL GROUP USA INC,FL,R,R26,www.lgbtqsupportandsocialgroupusa.com
47-1063562,TARAB NYC INC,NY,R,R26,tarabnyc.org
56-2089482,VERITAS CHRISTIAN ACADEMY INC,NC,B,B24,veritasnc.org
20-5272922,PREGNANCY CHOICES LIFECARE CENTER INC,MN,E,E40,www.mypregnancychoices.com
82-4390148,OSACPS PARENT ADVISORY COUNCIL,MA,B,B94,osacps.org
81-4284364,KPJM-LP INC,AZ,F,F21,www.kpjm-fm.com
82-3146263,ISD 728 ROBOTICS BOOSTER CLUB,MN,B,B94,www.nwmrobotics.org
65-1309922,PRINCE WILLIAM DROP IN CENTER INC,VA,F,F32,www.pwdropincenter.org
45-2632601,EQUUS EFFECT,CT,F,F30,www.theequuseffect.org
81-1907707,SOURCE LGBT CENTER INC,CA,R,R26,thesourcelgbt.org
81-2704409,SOMEONES CHILD,MS,F,F01,www.someones-child.org
47-3506012,CHICAGO AUTISM RESOURCE & EDUCATION NFP,IL,G,G84,www.care4chicago.org
46-1936039,BAKER PREVENTION COALITION,FL,F,F21,bakerprevention.org
83-2331704,KEEPING ASHLAND WOMEN SAFE,OR,R,R24,www.keepingashlandwomensafe.com
47-4367604,SCARLETS SMILE,MI,G,G50,scarletssmile.com
82-4417268,EAST HOUSE FOUNDATION INC,NY,F,F12,www.easthouse.org
16-0926404,EAST HOUSE CORPORATION,NY,F,F30Z,www.easthouse.org
23-1976386,JUVENILE LAW CENTER,PA,I,I80Z,www.jlc.org
63-0925428,SHEPHERDS FOLD INC,AL,I,I43Z,www.sfalabama.org
45-3274946,DOWN COUNTRY,MO,G,G25,www.upatdowncountry.com
47-4178944,DIGESTIVE HEALTH FOUNDATION,IL,G,G80,digestivehealthfoundation.org
46-4320131,GLOBAL ALLIANCE FOR PATIENT ACCESS,IA,H,H01,www.gafpa.org
23-2016984,OXFORD JUNIOR FOOTBALL GOLDEN BEARS,PA,B,B94,www.oxfordgoldenbears.org
47-2394416,BRAVE STEP INC,NC,F,F42,bravestep.org
46-0688971,KAPPA THERAPEUTICS,WA,H,H03,depts.washington.edu
36-2957395,BREAKING FREE INC,IL,F,F22Z,breakingfreeinc.org
22-3141153,COMMITTEE OF TEN THOUSAND,NY,G,G81Z,www.cott1.org
23-7446224,ASSOCIATION OF PEDIATRIC HEMATOLOGY ONCOLOGY NURSES INC,IL,G,G30C,www.aphon.org
26-4369330,OAK CREEK CHARTER SCHOOL OF BONITA SPRINGS INC,FL,B,B24,www.oakcreekcharter.org
82-4910824,SYDNEY HARPER FOUNDATION,PA,H,H99,sydneyharperfoundation.org
38-3720352,KINGSPORT CHRISTIAN ACADEMY,TN,B,B28,www.kcalions.com
03-0464617,FRIENDS OF FELLOWSHIP OF RECONCILIATION INC,NY,I,I51,www.forusa.org
59-3575631,MARION COUNTY CHILDRENS ADVOCACY CENTER INC,FL,I,I72,www.kimberlyscenter.org
81-4565458,TACOMA SPECIAL NEEDS PTA,WA,B,B94,www.tsnpta.org
04-3392651,AMERICA NEPAL MEDICAL FOUNDATION,FL,H,H00O,anmf.org
83-1764075,NATIONAL MEDIAN ARCUATE LIGAMENT SYNDROME FOUNDATION INC,PA,G,G80,www.malsfoundation.org
